331999,2005,HA8,57400,1.74035505,0.286121725,13.3929667,173.3403310,102.1677936,210.0159893,1.2424,2.24,2.30,19.20,0.225327,35,AMO,331999,2005,HA8
317212,2002,CW46,57400,1.83473240,0.344172591,12.2395238,71.0100303,346.2523532,275.8138630,1.2033,2.47,2.49,19.00,0.291713,31,AMO,317212,2002,CW46
331510,2000,AE6,57400,2.71559149,0.553105834,11.8951695,279.6523070,119.6949874,233.4536014,1.2136,4.22,4.48,17.50,0.313585,23,AMO,331510,2000,AE6
10636,1998,QK56,57400,1.88363141,0.513172718,13.5625900,286.1318207,173.0985026,219.9303792,0.9170,2.85,2.59,17.50,0.110682,35,APO,10636,1998,QK56
4503,Cleobulus,57400,2.70709694,0.523052120,2.5135603,76.3597143,46.0077520,298.5096413,1.2911,4.12,4.45,15.60,0.310667,94,AMO,4503,Cleobulus
89355,2001,VS78,57400,1.78676828,0.308306811,22.6662073,84.9066390,103.1227787,284.4471147,1.2359,2.34,2.39,15.70,0.444061,271,AMO,89355,2001,VS78
5836,1993,MF,57400,2.44082998,0.536362634,7.9482525,77.9832069,238.7836855,312.2622323,1.1317,3.75,3.81,14.70,0.183586,138,AMO,5836,1993,MF
2329,Orthos,57400,2.40880949,0.654955079,24.4666899,146.0297575,169.3218537,202.9245611,0.8311,3.99,3.74,14.60,0.097924,120,APO,2329,Orthos
248590,2006,CS,57400,2.91073613,0.698421515,52.3640723,346.4163546,172.3985853,344.1299905,0.8778,4.94,4.97,16.40,0.105387,50,APO,248590,2006,CS
331509,1999,YA,57400,1.67689695,0.339214891,38.2358793,265.5607088,106.2003716,189.1445293,1.1081,2.25,2.17,18.30,0.367056,51,AMO,331509,1999,YA
413989,2007,EL88,57400,1.11950286,0.521954566,30.8415535,116.1584443,198.4775600,93.2238938,0.5352,1.70,1.18,19.00,0.035167,39,APO,413989,2007,EL88
3671,Dionysus,57400,2.19889125,0.541471013,13.5346771,204.2173482,82.1319934,244.4080779,1.0083,3.39,3.26,16.50,0.019960,79,APO,3671,Dionysus
17274,2000,LC16,57400,2.72937860,0.556552123,5.6080775,21.0079314,306.1278074,151.7035176,1.2103,4.25,4.51,16.60,0.199765,109,AMO,17274,2000,LC16
213053,1998,WT30,57400,1.81256055,0.337255647,0.5120964,126.6265442,36.0355252,302.3349499,1.2013,2.42,2.44,19.70,0.209574,30,AMO,213053,1998,WT30
330659,2008,GG2,57400,1.58725740,0.277922773,13.0176358,0.3731971,198.7296590,317.5500289,1.1461,2.03,2.00,22.70,0.144019,37,AMO,330659,2008,GG2
