ID,Name,Epoch,a,e,i,w,Node,M,q,Q,P,H,MOID,ref,class,ID2,Name2
2010,FA10,57400,1.53819856,0.396093235,10.5885477,134.7289784,1.7854707,35.2119801,0.9289,2.15,1.91,26.00,0.011793,8,APO,2010,FA10
2010,FB10,57400,0.96796438,0.514028498,13.7281710,212.5838227,176.0420717,143.5810975,0.4704,1.47,0.95,22.20,0.092475,6,ATE,2010,FB10
2010,FF10,57400,2.37891527,0.631645927,5.0766664,105.2687569,166.2058667,189.5989060,0.8763,3.88,3.67,21.70,0.037322,18,APO,2010,FF10
2010,FL48,57400,1.18844584,0.068907642,26.9973900,53.5671596,177.5475478,128.4785460,1.1066,1.27,1.30,22.20,0.139146,14,AMO,2010,FL48
2010,FX80,57400,2.16716909,0.454790941,36.9586938,88.9905518,129.2823219,265.7317123,1.1816,3.15,3.19,20.60,0.532136,11,AMO,2010,FX80
2010,FY80,57400,2.69581383,0.612398923,18.8141952,45.7895143,164.4590135,100.7010952,1.0449,4.35,4.43,19.70,0.139107,26,AMO,2010,FY80
2010,FZ80,57400,2.74776540,0.745211526,27.3408073,347.2874432,267.7643130,75.7046955,0.7001,4.80,4.55,20.30,0.300077,11,APO,2010,FZ80
2010,FA81,57400,1.19515329,0.151901126,15.4775936,140.7920919,47.8145876,155.7617110,1.0136,1.38,1.31,22.30,0.033266,25,APO,2010,FA81
2010,FB81,57400,2.57916084,0.603563288,9.4802674,46.1432100,91.0173391,150.3560359,1.0225,4.14,4.14,21.40,0.096307,10,AMO,2010,FB81
2010,FC81,57400,2.67913111,0.623322742,1.6825538,63.6435052,144.3244577,110.3552732,1.0092,4.35,4.39,21.80,0.026298,33,APO,2010,FC81
2010,FG81,57400,1.65952276,0.393473382,7.9702564,191.2434276,344.1558364,258.9165404,1.0065,2.31,2.14,23.30,0.018385,12,APO,2010,FG81
2010,FH81,57400,1.22555360,0.210413415,16.7930488,158.2620640,84.6357501,59.2732717,0.9677,1.48,1.36,21.60,0.036505,24,APO,2010,FH81
2010,FJ81,57400,3.60063009,0.683197120,42.4724011,171.6143612,97.4154086,298.9218425,1.1407,6.06,6.83,20.80,0.127192,12,AMO,2010,FJ81
2010,FO92,57400,2.14587981,0.518007173,6.7567531,124.8717954,164.0082708,267.7806229,1.0343,3.26,3.14,20.00,0.080234,46,AMO,2010,FO92
2010,GU5,55293,2.37888289,0.555561657,6.4359340,167.6475569,19.3502885,2.3554606,1.0573,3.70,3.67,24.60,0.060975,10,AMO,2010,GU5
2010,GZ5,57400,1.43254202,0.585126742,6.1118028,122.9694849,186.5646756,91.7901504,0.5943,2.27,1.71,22.80,0.047746,17,APO,2010,GZ5
2010,GA6,57400,2.30523728,0.596806981,9.7537303,34.3091430,197.6971583,223.1083671,0.9295,3.68,3.50,26.00,0.004249,10,APO,2010,GA6
